DATE,TIME,DAY,1,2,3,4
251122,6,F,28,21,5600,5150
251122,7,F,24,43,5600,5150
251122,8,F,34,101,5600,5150
251122,9,F,43,41,5600,5150
261122,6,S,19,15,4450,3850
261122,7,S,16,25,4450,3850
261122,8,S,43,73,4450,3850
261122,9,S,20,31,4450,3850
271122,6,SU,20,26,4900,4550
271122,7,SU,36,21,4900,4550
271122,8,SU,73,37,4900,4550
271122,9,SU,12,3,4900,4550
281122,6,M,19,12,6050,6800
281122,7,M,47,22,6050,6800
281122,8,M,36,88,6050,6800
281122,9,M,49,25,6050,6800
291122,6,T,19,7,5600,4100
291122,7,T,16,23,5600,4100
291122,8,T,62,43,5600,4100
291122,9,T,20,17,5600,4100
301122,6,W,24,31,6700,7350
301122,7,W,19,32,6700,7350
301122,8,W,54,52,6700,7350
301122,9,W,19,39,6700,7350
11222,6,TH,13,12,5600,5760
11222,7,TH,28,13,5600,5760
11222,8,TH,35,98,5600,5760
11222,9,TH,25,19,5600,5760
21222,6,F,3,7,3600,4350
21222,7,F,25,24,3600,4350
21222,8,F,31,67,3600,4350
21222,9,F,0,28,3600,4350
31222,6,S,45,22,6000,5800
31222,7,S,19,6,6000,5800
31222,8,S,71,17,6000,5800
31222,9,S,14,28,6000,5800
